,artist,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode
37,IV Of Spades,0.5227734617655855,0.741,0.672,0.271,0.0,0.06,0.5610802319961335,0.0397,0.41392319784415,0.623,6,1
38,IV Of Spades,0.3052847928953241,0.5820000000000001,0.513,0.366,0.0,0.134,0.7184630256162399,0.0257,0.7089692342241181,0.119,2,1
39,juan karlos,0.6529082593902023,0.628,0.617,0.439,0.0584,0.119,0.7183421942967619,0.0438,0.6913810913990568,0.293,4,0
40,juan karlos,0.6647826186988565,0.309,0.621,0.404,0.00312,0.28600000000000003,0.7657684871918802,0.0366,0.48045811812261396,0.595,4,1
41,juan karlos,0.7504211626902262,0.581,0.504,0.494,0.000691,0.126,0.7241420976317063,0.0445,0.7454749607006512,0.306,4,1
42,juan karlos,0.6513616528494627,0.16899999999999998,0.394,0.602,0.193,0.174,0.7449250845819237,0.0516,0.619510442398383,0.242,1,0
43,juan karlos,0.7146319204251761,0.371,0.569,0.7290000000000001,3.04e-06,0.0876,0.8752416626389561,0.058,0.6904558724455423,0.365,0,1
44,juan karlos,0.8731271361703976,0.935,0.498,0.0641,0.000356,0.35600000000000004,0.03467858869018858,0.0599,0.4867909274646305,0.196,6,0
45,juan karlos,1.0,0.152,0.556,0.586,0.0,0.0989,0.8888351860802322,0.0422,0.5107028969234224,0.328,0,1
46,juan karlos,0.865900265607305,0.5589999999999999,0.495,0.4270000000000001,0.0,0.104,0.7277066215563075,0.0461,0.46785537839658664,0.339,7,1
47,juan karlos,0.9787079572267425,0.627,0.623,0.369,1.58e-06,0.103,0.6971362977283713,0.0308,0.0,0.279,2,1
48,juan karlos,0.8019551151774507,0.369,0.496,0.6409999999999999,0.0,0.0591,0.9489487675205415,0.0754,0.7260543453851336,0.6559999999999999,9,1
49,Troye Sivan,0.4838603299256861,0.004070000000000001,0.701,0.458,0.000151,0.045,0.7949492508458194,0.0836,0.3231978441500112,0.482,1,1
50,Troye Sivan,0.5282645540788232,0.031,0.708,0.701,0.0,0.392,0.9491904301594973,0.0328,0.48457219851785305,0.504,0,1
51,Troye Sivan,0.4946993575831013,0.579,0.612,0.6940000000000001,0.0,0.0914,0.8182696955050751,0.0514,0.3237727374803504,0.564,2,1
52,Troye Sivan,0.5186883753984748,0.165,0.612,0.743,4.35e-05,0.319,0.8250966650555825,0.0442,0.4664361104873118,0.34700000000000003,4,1
53,Troye Sivan,0.6471359658877393,0.406,0.426,0.284,0.00335,0.362,0.3271507974867086,0.0616,0.4046889737255783,0.311,2,1
54,Troye Sivan,0.553189204941983,0.00632,0.736,0.7559999999999999,0.00577,0.106,0.8342194296761722,0.047,0.4493959128677296,0.7120000000000001,11,1
55,Troye Sivan,0.43592830903499413,0.0123,0.693,0.594,6.25e-05,0.0764,0.8206863218946353,0.0469,0.2693554906804402,0.565,6,0
56,Troye Sivan,0.514227501987581,0.905,0.43,0.36,0.0,0.0967,0.7248670855485745,0.036000000000000004,0.27725129126431625,0.247,0,1
57,Troye Sivan,0.4401821161156401,0.438,0.715,0.632,0.0859,0.0923,0.8345819236346063,0.0348,0.49448910846620264,0.586,0,1
58,Troye Sivan,0.6382167754403992,0.535,0.335,0.314,0.00517,0.295,0.5891735137747706,0.0411,0.49817201886368734,0.0528,8,1
