Unnamed: 0,Unnamed: 0.1,date,position,track_id,track_name,artist,streams,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,is_collab,is_remixed,euclidean_dist,manhattan_dist,cosine_dist,cosine_dist_mod
45691,45691,2018-08-17,92,0XOnMqLQDO89iAg7dWWwnG,pete davidson,Ariana Grande,35958,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,3tx8gQqWbGwqIGZHqDNrGe,0.07255248437051849,2018-08-17,63,0.652,0.31,4,0.5747389969293756,1,0.0509,0.43,1.1599999999999999e-05,0.182,0.304,0.4347273149821825,0,0,0.021000000000000588,0.02100000000000002,0.008543139483133233,0.008543139483133233
144546,144546,2019-12-24,147,0STH9826YZ3TmM5R4mdhb1,Kumukutikutitap,Rachelle Ann Go,36603,0YaTdozvKSQ2UkOTTONmSJ,Rachelle Ann Go,3sQnytlh0xh7krYGMb8U3V,0.2185680446550884,2012-09-17,46,0.736,0.55,5,0.631033776867963,0,0.0393,0.53,3.52e-06,0.0957,0.608,0.5321102101947011,0,0,0.10499999999999977,0.10499999999999998,0.008746765310501892,0.008746765310501892
71537,71537,2018-12-24,138,7segkq8uZLqiORlsjgaQMA,Kumukutikutitap,Rachelle Ann Go,31781,0YaTdozvKSQ2UkOTTONmSJ,Rachelle Ann Go,6RVxzEP6tY0ktPKlZtOlFu,0.2185680446550884,2012-09-17,0,0.736,0.55,5,0.631033776867963,0,0.0393,0.53,3.52e-06,0.0957,0.608,0.5321102101947011,0,0,0.10499999999999977,0.10499999999999998,0.008746765310501892,0.008746765310501892
8942,8942,2018-02-14,143,0WWKJsCjOAhymkdt8GuKTt,Back At One,Brian McKnight,30391,6k0IBR0lU42s2GYpNX7kA9,Brian McKnight,2BK40RcXGUp3ll1HmyzeVU,0.4533422119351675,1999-09-21,0,0.6609999999999999,0.34600000000000003,11,0.6196519959058341,1,0.03,0.452,0.0,0.131,0.256,0.4982440737489025,0,0,0.030000000000000197,0.029999999999999916,0.008918581587876173,0.008918581587876173
52586,52586,2018-09-20,187,6mwA6YiKDjAUG8kWvRRUPh,Back At One,Brian McKnight,22126,6k0IBR0lU42s2GYpNX7kA9,Brian McKnight,0ZnKlkQrZb1xDbT8bmPSjo,0.4533422119351675,1999-09-21,70,0.6609999999999999,0.34600000000000003,11,0.6196519959058341,1,0.03,0.452,0.0,0.131,0.256,0.4982440737489025,0,0,0.030000000000000197,0.029999999999999916,0.008918581587876173,0.008918581587876173
72597,72597,2018-12-29,198,0lsRatBUs9HNIZAmoGABzk,Trampoline,SHAED,18895,3KwmxIhSe9UTSEF37kwngR,SHAED,3WSazrD65bFptRnMvnesVH,0.2936758013305869,2018-09-21,70,0.6890000000000001,0.41200000000000003,7,0.6848311156601842,0,0.0301,0.488,0.00016,0.0659,0.537,0.4788901513195269,0,0,0.05799999999999933,0.05800000000000005,0.008993384078304523,0.008993384078304523
78539,78539,2019-01-28,140,1XJ93XskwJf7PCyIVLbNBt,Anxiety (with Selena Gomez),Julia Michaels,28071,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,1xJ7jIK1tT0aVoJw1fPE6r,0.3459967066270606,2019-01-24,66,0.8029999999999999,0.384,7,0.7258137154554758,1,0.179,0.5710000000000001,0.0,0.19399999999999998,0.503,0.5768217734855137,0,0,0.17199999999999985,0.17199999999999993,0.009029037917394067,0.009029037917394067
54086,54086,2018-09-28,87,2hnxrRNzF74mdDzpQZQukQ,There's No Way (feat. Julia Michaels),Lauv,35747,5JZ7CnR6gTvEMKX4g70Amv,Lauv,3xJzdYiYlc7CMtRXBpd9Qg,0.2752232854704489,2018-09-27,15,0.755,0.625,2,0.7015762538382804,1,0.0896,0.49,0.0,0.157,0.374,0.6097195682487218,1,0,0.12399999999999978,0.124,0.009288602606798757,0.009288602606798757
93979,93979,2019-04-15,180,6BZLjTOKBPqhq4xpOLkjrp,Nandyan Agad Ako,Ex Battalion,24932,2iB7AJhJmkWkkehY9ccB0j,Ex Battalion,0eLjp1QFnlSL8Oaoz17RRY,0.40623213666093705,2018-08-06,61,0.799,0.529,9,0.6174002047082906,1,0.0615,0.6609999999999999,0.0,0.0856,0.601,0.4872566234571089,0,0,0.1680000000000004,0.16800000000000004,0.009724254488413298,0.009724254488413298
87597,87597,2019-03-14,198,2SuTg9SbfgvHOqhZonuu1j,Nandyan Agad Ako,Ex Battalion,24451,2iB7AJhJmkWkkehY9ccB0j,Ex Battalion,6Y8OKCmGEqn2JjbTEwIbdf,0.40623213666093705,2018-08-06,0,0.799,0.529,9,0.6174002047082906,1,0.0615,0.6609999999999999,0.0,0.0856,0.601,0.4872566234571089,0,0,0.1680000000000004,0.16800000000000004,0.009724254488413298,0.009724254488413298
