,artist,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode
0,Clean Bandit,0.507326569,0.074,0.72,0.712,8.34E-06,0.212,0.896266312,0.0427,0.341315967,0.4605,0,0
1,Darren Espanto,0.579206706,0.781,0.5015,0.464,0,0.1145,0.774196472,0.03055,0.480485066,0.1965,4,1
2,IV Of Spades,0.582873825,0.0541,0.531,0.565,0.000579,0.134,0.718463026,0.0341,0.547810465,0.35,2,1
3,Troye Sivan,0.516457939,0.2855,0.6525,0.613,0.00010675,0.10135,0.819478009,0.04555,0.427042443,0.493,0,1
4,juan karlos,0.776188139,0.465,0.53,0.4665,0.00017952,0.1115,0.736315853,0.0453,0.56510667,0.317,4,1
