track_id,track_name,artist_name,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,popularity,streams,position,P,S,combined,sum_val
003eoIwxETJujVWmNFMoZy,Growing Pains,Alessia Cara,0.3129707146539051,0.0822,0.353,0.755,0.0,0.39,0.7358853633572159,0.733,0.8946250581005009,0.4370000000000001,1.0,0.0,53.0,42571.0,72.0,1,1,11,2.0
0087fDVeNhuyMtST91RMjv,Kundiman,Silent Sanctuary,0.6045465394512783,0.564,0.335,0.5710000000000001,0.0,0.13699999999999998,0.7999590583418628,0.0243,0.26468005990807203,0.45399999999999996,11.0,1.0,60.0,22647.0,185.0,4,4,44,8.0
00bAw28lKcHj3B94a1wJle,Say You Wonât Let Go,Chlara,0.44997061637420105,0.8390000000000001,0.461,0.293,0.0,0.11800000000000001,0.6243602865916069,0.0496,0.6516874967721946,0.415,1.0,1.0,56.0,21443.0,189.5,4,4,44,8.0
00mBzIWv5gHOYxwuEJXjOG,Sa Ngalan Ng Pag-Ibig,December Avenue,0.49640877938613304,0.0851,0.518,0.762,0.0,0.14800000000000002,0.832876151484135,0.0305,0.6675941228115478,0.271,7.0,1.0,67.0,80381.0,42.0,1,1,11,2.0
011GTFfE8rqTRMhz5g8IAW,Repeat,Al James,0.3858180381365367,0.434,0.8440000000000001,0.314,0.0007700000000000001,0.0787,0.4428249744114636,0.34600000000000003,0.43554072199555854,0.5710000000000001,9.0,0.0,58.0,46309.0,85.0,2,1,21,3.0
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,0.3694113446869792,0.16699999999999998,0.73,0.7290000000000001,1.39e-06,0.349,0.8522415557830091,0.0883,0.3901835975830192,0.467,4.0,0.0,87.0,84915.0,29.0,1,1,11,2.0
01YEqVPCm0vqRLA9w43bic,Hanggang Kailan,Michael Pangilinan,0.38672662397182384,0.893,0.40399999999999997,0.174,0.0,0.0977,0.5755578300921187,0.0312,0.2263595517223572,0.324,9.0,1.0,58.0,29633.0,108.0,2,3,23,5.0
01dmH2IPkrLNWIMPNXlreE,Paradise,BTS,0.34815685440764416,0.214,0.519,0.828,0.0,0.0571,0.7667144319344933,0.365,0.5606117337189482,0.929,5.0,1.0,67.0,31058.0,96.5,2,2,22,4.0
01iyINEYgPQ7ThMZuHUsqS,First Love,Lost Kings,0.34054318590709165,0.0257,0.619,0.938,1.39e-05,0.128,0.7780962128966222,0.35,0.2698961937716263,0.601,5.0,1.0,56.0,20782.0,194.0,4,4,44,8.0
01k24g94i1JvkFLQmVEdCd,If You're Over Me,Years & Years,0.3035840000641827,0.0615,0.647,0.853,0.0,0.062,0.8079426816786078,0.0904,0.3310050095543046,0.618,8.0,1.0,64.0,21723.0,187.0,4,4,44,8.0
0247StOpd3AkeBQzANX4Zf,Do They Know It's Christmas? - 1984 Version,Band Aid,0.3708414146661399,0.16399999999999998,0.599,0.642,3.3299999999999996e-05,0.0992,0.7088638689866938,0.0363,0.40567060889325,0.349,0.0,1.0,56.0,31679.5,116.0,2,2,22,4.0
029B34AzPVXzOQCyaJpkdH,Changes,Lauv,0.2457915226735289,0.452,0.532,0.455,0.0,0.237,0.6503172978505629,0.156,0.6172209884831898,0.204,2.0,1.0,9.0,86549.0,47.0,1,1,11,2.0
02GtNoUv85fOPEaCTlpYzr,"Kapit - From ""Alone / Together""",Armi Millare,0.4117578628777501,0.745,0.586,0.32299999999999995,2.57e-06,0.0769,0.5249539406345956,0.0262,0.234364509631772,0.428,1.0,1.0,52.0,51818.5,59.0,1,1,11,2.0
03T4ttRCiLXST6MZjeMwmR,Orphans,Coldplay,0.32069870852446064,0.0254,0.503,0.8079999999999999,0.00162,0.557,0.7860388945752301,0.045,0.3576602282704126,0.28300000000000003,11.0,0.0,66.0,26159.0,182.0,4,3,43,7.0
03VNgdCL9t8aPyvwZecglI,More Than Friends (feat. Meghan Trainor),Jason Mraz,0.2882603890672855,0.366,0.451,0.528,0.0,0.0811,0.7068986693961105,0.0364,0.5597531374270515,0.527,2.0,1.0,58.0,25214.0,162.0,3,4,34,7.0
03iCbZaM4OkRR4We6wIzvx,IDOL,BTS,0.4464566155277921,0.0021899999999999997,0.7090000000000001,0.857,0.0,0.10300000000000001,0.8538792221084952,0.0881,0.4742679336879616,0.446,9.0,1.0,69.0,53196.0,45.0,1,1,11,2.0
03o4HPzUwftpgAPNQSuaBS,This Love Isn't Crazy,Carly Rae Jepsen,0.3925832920491721,0.0030800000000000003,0.632,0.728,0.0,0.278,0.7570522006141247,0.0604,0.4222550741104167,0.252,6.0,0.0,62.0,32345.0,100.0,2,2,22,4.0
03wvlNaxFKB9sge4U6vyPE,MORE & MORE - English Version,TWICE,0.32495081000527504,0.0313,0.753,0.815,1.74e-06,0.191,0.7939815762538381,0.0613,0.3513530961111398,0.5670000000000001,5.0,1.0,65.0,106478.0,18.0,1,1,11,2.0
045vckAeaQEbJ3vmatyBWt,STUCK IN MY HEAD,TWICE,0.27809947109473565,0.11699999999999999,0.544,0.778,0.0,0.431,0.8503582395086999,0.131,0.8219348757940401,0.35200000000000004,0.0,1.0,46.0,24063.0,172.0,4,4,44,8.0
04DwTuZ2VBdJCCC5TROn7L,In the Name of Love,Martin Garrix,0.3173030444645461,0.0592,0.49,0.485,0.0,0.337,0.7374820880245649,0.0406,0.5249509373547487,0.196,4.0,0.0,23.0,18584.0,147.0,3,4,34,7.0
04ZTP5KsCypmtCmQg5tH9R,I'm a Mess,Bebe Rexha,0.3166592121176869,0.00281,0.63,0.6940000000000001,0.0,0.0719,0.7366632548618217,0.0253,0.2868421732169601,0.21600000000000005,11.0,0.0,78.0,42686.5,70.5,1,1,11,2.0
053ZzdU3Rya4NMxiWMPqnq,Alab (Burning),SB19,0.2910483235287629,0.0176,0.715,0.927,0.0,0.34,0.90603889457523,0.0606,0.43512110726643605,0.7909999999999999,0.0,1.0,52.0,31886.0,115.0,2,2,22,4.0
05CwHjIk71RXVU40boRMnR,Call You Mine,The Chainsmokers,0.361053558427284,0.225,0.591,0.7020000000000001,0.0,0.414,0.7639713408393038,0.0289,0.332018540515416,0.501,7.0,1.0,8.0,86749.5,37.0,1,1,11,2.0
